GO,AncestorGroup,AncestorGroupIndex,Color
GO:0022617,cellular component organization or biogenesis,1344.0,239.0
GO:0022900,cellular metabolic process,1531.0,303.0
GO:0022904,cellular metabolic process,1531.0,303.0
GO:0023019,"regulation of metabolic process,organic substance metabolic process,cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",3854.0,765.0
GO:0023035,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",966.0,158.0
GO:0030007,"cellular homeostasis,regulation of biological quality",1481.0,289.0
GO:0030010,establishment or maintenance of cell polarity,1686.0,350.0
GO:0030030,cellular component organization or biogenesis,1344.0,239.0
GO:0030031,cellular component organization or biogenesis,1344.0,239.0
GO:0030032,cellular component organization or biogenesis,1344.0,239.0
GO:0030033,cellular component organization or biogenesis,1344.0,239.0
GO:0030036,"actin filament-based process,cellular component organization or biogenesis",29.0,3.0
GO:0030041,"actin filament-based process,cellular component organization or biogenesis",29.0,3.0
GO:0030042,"actin filament-based process,cellular component organization or biogenesis",29.0,3.0
GO:0030048,"movement of cell or subcellular component,actin filament-based process",2223.0,430.0
GO:0030049,"movement of cell or subcellular component,actin filament-based process,system process",2252.0,435.0
GO:0030050,"movement of cell or subcellular component,actin filament-based process,cellular localization,establishment of localization",2229.0,431.0
GO:0030071,"cell cycle,chromosome segregation,cell cycle process,regulation of cellular process,cellular component organization or biogenesis,regulation of biological process",1116.0,198.0
GO:0030073,"cell communication,export from cell,cell-cell signaling,macromolecule localization,establishment of localization,regulation of biological quality",620.0,103.0
GO:0030097,"immune system development,multicellular organism development,anatomical structure development",2014.0,389.0
GO:0030099,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0030100,"vesicle-mediated transport,regulation of cellular process,cellular component organization or biogenesis,regulation of localization,establishment of localization,regulation of biological process",4829.0,887.0
GO:0030101,"leukocyte activation,cell activation",2066.0,401.0
GO:0030111,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,cell-cell signaling,regulation of signaling,regulation of response to stimulus,regulation of biological process",925.0,153.0
GO:0030148,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0030150,"cellular localization,transmembrane transport,cellular component organization or biogenesis,macromolecule localization,establishment of localization",1527.0,301.0
GO:0030155,"cell adhesion,regulation of cellular process,regulation of biological process",550.0,93.0
GO:0030162,"nitrogen compound metabolic process,regulation of metabolic process,primary metabolic process,organic substance metabolic process,regulation of biological process",3351.0,644.0
GO:0030163,"nitrogen compound metabolic process,catabolic process,primary metabolic process,organic substance metabolic process",3151.0,586.0
GO:0030166,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0030168,"cell activation,coagulation,response to stress,regulation of biological quality",493.0,81.0
GO:0030177,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,cell-cell signaling,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",872.0,144.0
GO:0030178,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,cell-cell signaling,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,regulation of biological process",827.0,136.0
GO:0030182,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0030183,"immune system development,leukocyte activation,cell activation,cellular developmental process,multicellular organism development,anatomical structure development",2009.0,388.0
GO:0030194,"coagulation,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of response to stimulus,positive regulation of hemostasis,positive regulation of biological process,regulation of response to stimulus,regulation of hemostasis,response to stress,response to external stimulus,regulation of biological process,regulation of biological quality",1637.0,338.0
GO:0030195,"coagulation,regulation of multicellular organismal process,negative regulation of multicellular organismal process,negative regulation of response to stimulus,negative regulation of hemostasis,negative regulation of biological process,regulation of response to stimulus,regulation of hemostasis,response to stress,response to external stimulus,regulation of biological process,regulation of biological quality",1632.0,336.0
GO:0030198,cellular component organization or biogenesis,1344.0,239.0
GO:0030199,cellular component organization or biogenesis,1344.0,239.0
GO:0030203,"nitrogen compound metabolic process,organic substance metabolic process",3270.0,619.0
GO:0030206,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0030210,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,organic substance metabolic process",2855.0,537.0
GO:0030212,"nitrogen compound metabolic process,organic substance metabolic process",3270.0,619.0
GO:0030213,"nitrogen compound metabolic process,biosynthetic process,organic substance metabolic process",2937.0,551.0
GO:0030214,"nitrogen compound metabolic process,catabolic process,organic substance metabolic process",3133.0,581.0
GO:0030216,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0030217,"immune system development,leukocyte activation,cell activation,cellular developmental process,multicellular organism development,anatomical structure development",2009.0,388.0
GO:0030218,"myeloid cell homeostasis,immune system development,cellular developmental process,multicellular organism development,anatomical structure development,regulation of biological quality",2655.0,495.0
GO:0030219,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0030220,"immune system development,cellular developmental process,multicellular organism development,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",2003.0,387.0
GO:0030224,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0030225,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0030238,"reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996.0,782.0
GO:0030239,"actin filament-based process,cellular developmental process,cellular component organization or biogenesis,anatomical structure morphogenesis,anatomical structure formation involved in morphogenesis,anatomical structure development",30.0,4.0
GO:0030259,"cellular metabolic process,primary metabolic process,glycosylation,organic substance metabolic process",1557.0,312.0
GO:0030261,cellular component organization or biogenesis,1344.0,239.0
GO:0030277,"system process,digestion,multicellular organismal homeostasis,regulation of biological quality",4586.0,837.0
GO:0030278,"ossification,regulation of multicellular organismal process,regulation of biological process",3392.0,658.0
GO:0030279,"ossification,regulation of multicellular organismal process,negative regulation of multicellular organismal process,negative regulation of biological process,regulation of biological process",3390.0,656.0
GO:0030282,"ossification,multicellular organism development,anatomical structure development,biomineral tissue development",3380.0,650.0
GO:0030299,"system process,digestion,macromolecule localization,establishment of localization",4584.0,836.0
GO:0030301,"macromolecule localization,establishment of localization",2111.0,413.0
GO:0030307,"cell growth,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,regulation of growth,positive regulation of growth,positive regulation of biological process,regulation of biological process",1243.0,220.0
GO:0030308,"cell growth,negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,regulation of growth,negative regulation of growth,negative regulation of biological process,regulation of biological process",1231.0,216.0
GO:0030311,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0030316,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0030317,"reproductive process,movement of cell or subcellular component,microtubule-based process,localization of cell,sperm motility,cell motility",4070.0,783.0
GO:0030318,"cellular developmental process,developmental pigmentation",1402.0,263.0
GO:0030322,regulation of biological quality,3607.0,707.0
GO:0030324,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030325,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030326,"multicellular organism development,anatomical structure morphogenesis,anatomical structure development",2464.0,471.0
GO:0030330,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to stress,regulation of biological process",999.0,169.0
GO:0030334,"movement of cell or subcellular component,regulation of cellular process,localization of cell,regulation of locomotion,cell motility,regulation of localization,regulation of biological process",2421.0,467.0
GO:0030336,"movement of cell or subcellular component,negative regulation of cellular process,regulation of cellular process,localization of cell,regulation of locomotion,negative regulation of locomotion,cell motility,regulation of localization,negative regulation of biological process,regulation of biological process",2390.0,459.0
GO:0030388,"cellular metabolic process,organic substance metabolic process",1538.0,308.0
GO:0030431,907,907.0,907.0
GO:0030433,"nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress,response to chemical",3085.0,569.0
GO:0030488,"nitrogen compound metabolic process,methylation,cellular metabolic process,primary metabolic process,organic substance metabolic process",3219.0,604.0
GO:0030490,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0030500,"ossification,multicellular organism development,regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,regulation of biomineralization,regulation of biological process,biomineral tissue development",3384.0,653.0
GO:0030501,"ossification,multicellular organism development,regulation of multicellular organismal process,positive regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,positive regulation of developmental process,positive regulation of biomineralization,positive regulation of biological process,regulation of biomineralization,regulation of biological process,biomineral tissue development",3388.0,655.0
GO:0030502,"ossification,multicellular organism development,regulation of multicellular organismal process,negative regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,negative regulation of developmental process,negative regulation of biomineralization,negative regulation of biological process,regulation of biomineralization,regulation of biological process,biomineral tissue development",3386.0,654.0
GO:0030509,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",995.0,166.0
GO:0030510,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of signaling,regulation of response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",984.0,162.0
GO:0030511,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",889.0,148.0
GO:0030512,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",846.0,140.0
GO:0030513,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",889.0,148.0
GO:0030514,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",846.0,140.0
GO:0030516,"cell growth,cellular developmental process,regulation of cellular process,cellular component organization or biogenesis,multicellular organism development,anatomical structure morphogenesis,developmental growth,anatomical structure development,regulation of developmental process,regulation of growth,regulation of biological process,regulation of biological quality",1209.0,212.0
GO:0030517,"cell growth,negative regulation of cellular process,cellular developmental process,regulation of cellular process,cellular component organization or biogenesis,multicellular organism development,regulation of multicellular organismal process,negative regulation of multicellular organismal process,anatomical structure morphogenesis,developmental growth,anatomical structure development,regulation of developmental process,negative regulation of developmental process,regulation of growth,negative regulation of growth,negative regulation of biological process,regulation of biological process,regulation of biological quality",1223.0,214.0
GO:0030518,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",995.0,166.0
GO:0030520,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",995.0,166.0
GO:0030521,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to endogenous stimulus,response to chemical,regulation of biological process",995.0,166.0
GO:0030522,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",966.0,158.0
GO:0030534,907,907.0,907.0
GO:0030539,"reproductive process,developmental process involved in reproduction,multicellular organism development,anatomical structure development",3996.0,782.0
GO:0030574,"catabolic process,collagen metabolic process",376.0,64.0
GO:0030593,"leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to external stimulus,response to chemical",2096.0,408.0
GO:0030595,"leukocyte migration,movement of cell or subcellular component,localization of cell,cellular response to stimulus,taxis,cell motility,response to external stimulus,response to chemical",2096.0,408.0
GO:0030643,"cellular homeostasis,regulation of biological quality",1481.0,289.0
GO:0030705,"cellular localization,establishment of localization",1499.0,294.0
GO:0030833,"actin filament-based process,regulation of cellular process,cellular component organization or biogenesis,regulation of biological process,regulation of biological quality",47.0,12.0
GO:0030837,"actin filament-based process,negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,negative regulation of biological process,regulation of biological process,regulation of biological quality",37.0,7.0
GO:0030838,"actin filament-based process,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process,regulation of biological quality",44.0,10.0
GO:0030851,"immune system development,cellular developmental process,multicellular organism development,anatomical structure development",2002.0,386.0
GO:0030855,"cellular developmental process,anatomical structure development",1371.0,252.0
GO:0030857,"negative regulation of cellular process,cellular developmental process,regulation of cellular process,multicellular organism development,regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,negative regulation of developmental process,negative regulation of biological process,regulation of biological process",2701.0,506.0
GO:0030865,cellular component organization or biogenesis,1344.0,239.0
GO:0030866,"actin filament-based process,cellular component organization or biogenesis",29.0,3.0
GO:0030878,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030879,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030889,"regulation of immune system process,negative regulation of immune system process,leukocyte activation,cell activation,cell population proliferation,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",3761.0,743.0
GO:0030890,"regulation of immune system process,positive regulation of immune system process,leukocyte activation,cell activation,cell population proliferation,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",3796.0,750.0
GO:0030900,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030901,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030902,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0030948,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to chemical,regulation of biological process",843.0,139.0
GO:0030949,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to chemical,regulation of biological process",888.0,147.0
GO:0030953,"microtubule-based process,cell cycle,cell cycle process,cellular component organization or biogenesis",2136.0,417.0
GO:0030968,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to stress,response to chemical,regulation of biological process",1003.0,171.0
GO:0030970,"nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular localization,cellular response to stimulus,response to stress,response to chemical,macromolecule localization,establishment of localization",3084.0,568.0
GO:0031016,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0031018,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0031023,"microtubule-based process,cellular component organization or biogenesis",2149.0,421.0
GO:0031032,"actin filament-based process,cellular component organization or biogenesis",29.0,3.0
GO:0031047,"negative regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",2803.0,528.0
GO:0031053,"nitrogen compound metabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",3244.0,613.0
GO:0031054,"nitrogen compound metabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",3244.0,613.0
GO:0031065,"nitrogen compound metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",3291.0,629.0
GO:0031069,"multicellular organism development,molting cycle process,molting cycle,anatomical structure morphogenesis,anatomical structure development",2492.0,476.0
GO:0031076,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0031100,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0031103,"cellular developmental process,cellular response to stimulus,cellular component organization or biogenesis,multicellular organism development,anatomical structure development,response to stress",1397.0,261.0
GO:0031110,"microtubule-based process,regulation of cellular process,cellular component organization or biogenesis,regulation of biological process",2156.0,424.0
GO:0031113,"microtubule-based process,regulation of cellular process,cellular component organization or biogenesis,regulation of biological process",2156.0,424.0
GO:0031115,"microtubule-based process,negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,negative regulation of biological process,regulation of biological process",2154.0,422.0
GO:0031116,"microtubule-based process,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process",2155.0,423.0
GO:0031122,"microtubule-based process,cellular component organization or biogenesis",2149.0,421.0
GO:0031123,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0031145,"nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3077.0,566.0
GO:0031146,"nitrogen compound metabolic process,catabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3077.0,566.0
GO:0031167,"nitrogen compound metabolic process,methylation,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3220.0,605.0
GO:0031175,"cellular developmental process,cellular component organization or biogenesis,multicellular organism development,anatomical structure development",1384.0,256.0
GO:0031214,"multicellular organism development,anatomical structure development",2451.0,469.0
GO:0031274,"positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process",3477.0,677.0
GO:0031284,"nitrogen compound metabolic process,biosynthetic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process,regulation of molecular function",2981.0,559.0
GO:0031290,"movement of cell or subcellular component,cellular developmental process,cellular component organization or biogenesis,multicellular organism development,anatomical structure morphogenesis,anatomical structure development,taxis,response to external stimulus,response to chemical",2296.0,439.0
GO:0031293,"nitrogen compound metabolic process,primary metabolic process,organic substance metabolic process",3310.0,634.0
GO:0031295,"regulation of immune system process,positive regulation of immune system process,lymphocyte costimulation,leukocyte activation,cell activation,cell adhesion,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",3802.0,755.0
GO:0031297,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",2860.0,539.0
GO:0031333,"negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,negative regulation of biological process,regulation of biological process",2723.0,512.0
GO:0031334,"positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process",3477.0,677.0
GO:0031396,"nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,regulation of biological process",3336.0,641.0
GO:0031397,"nitrogen compound metabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",3250.0,616.0
GO:0031398,"nitrogen compound metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",3291.0,629.0
GO:0031424,"cellular developmental process,multicellular organism development,anatomical structure development",1405.0,264.0
GO:0031529,cellular component organization or biogenesis,1344.0,239.0
GO:0031532,"actin filament-based process,cellular component organization or biogenesis",29.0,3.0
GO:0031571,"cell cycle,cell communication,signal transduction,cell cycle process,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,negative regulation of biological process,response to stress,regulation of biological process",1037.0,179.0
GO:0031573,"cell cycle,cell communication,signal transduction,cell cycle process,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,negative regulation of biological process,response to stress,regulation of biological process",1037.0,179.0
GO:0031589,cell adhesion,507.0,82.0
GO:0031623,"cellular metabolic process,organic substance metabolic process,vesicle-mediated transport,establishment of localization",1554.0,310.0
GO:0031629,"cell communication,vesicle-mediated transport,cellular localization,cellular component organization or biogenesis,exocytic process,export from cell,cell-cell signaling,establishment of localization,regulation of biological quality",1017.0,173.0
GO:0031638,"nitrogen compound metabolic process,primary metabolic process,organic substance metabolic process",3310.0,634.0
GO:0031639,"nitrogen compound metabolic process,primary metabolic process,organic substance metabolic process",3310.0,634.0
GO:0031640,cell killing,1250.0,222.0
GO:0031641,"ensheathment of neurons,regulation of cellular process,multicellular organism development,regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,regulation of biological process",1682.0,347.0
GO:0031642,"ensheathment of neurons,negative regulation of cellular process,regulation of cellular process,system process,multicellular organism development,regulation of multicellular organismal process,negative regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,negative regulation of biological process,regulation of biological process",1680.0,345.0
GO:0031643,"ensheathment of neurons,positive regulation of cellular process,regulation of cellular process,system process,multicellular organism development,regulation of multicellular organismal process,positive regulation of multicellular organismal process,anatomical structure development,regulation of developmental process,positive regulation of biological process,regulation of biological process",1681.0,346.0
GO:0031647,regulation of biological quality,3607.0,707.0
GO:0031648,regulation of biological quality,3607.0,707.0
GO:0031663,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,response to other organism,response to external stimulus,response to biotic stimulus,response to chemical,regulation of biological process",998.0,168.0
GO:0031665,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,response to other organism,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to external stimulus,response to biotic stimulus,response to chemical,regulation of biological process",853.0,142.0
GO:0031666,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,response to other organism,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,response to external stimulus,response to biotic stimulus,response to chemical,regulation of biological process",895.0,150.0
GO:0031667,response to external stimulus,4215.0,798.0
GO:0031668,"cell communication,cellular response to stimulus,response to external stimulus",607.0,100.0
GO:0031669,"cell communication,cellular response to stimulus,response to external stimulus",607.0,100.0
GO:0031848,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,cellular component organization or biogenesis,response to stress",3193.0,595.0
GO:0031929,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",966.0,158.0
GO:0031953,"nitrogen compound metabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of cellular process,regulation of cellular process,negative regulation of biological process,regulation of biological process",3250.0,616.0
GO:0031954,"nitrogen compound metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",3291.0,629.0
GO:0032000,"catabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process",423.0,71.0
GO:0032006,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of signaling,regulation of response to stimulus,regulation of biological process",979.0,159.0
GO:0032007,"cell communication,signal transduction,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,negative regulation of signaling,negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,regulation of biological process",840.0,138.0
GO:0032008,"cell communication,signal transduction,positive regulation of cellular process,regulation of cellular process,cellular response to stimulus,regulation of signaling,positive regulation of signaling,positive regulation of response to stimulus,positive regulation of biological process,regulation of response to stimulus,regulation of biological process",885.0,146.0
GO:0032012,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of signaling,regulation of response to stimulus,regulation of biological process",979.0,159.0
GO:0032020,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0032024,"cell communication,positive regulation of cellular process,regulation of cellular process,export from cell,cell-cell signaling,regulation of signaling,positive regulation of signaling,positive regulation of transport,positive regulation of establishment of protein localization,regulation of localization,positive regulation of biological process,macromolecule localization,establishment of localization,regulation of biological process,regulation of biological quality",680.0,114.0
GO:0032026,response to chemical,4205.0,795.0
GO:0032049,"biosynthetic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",184.0,31.0
GO:0032088,"nitrogen compound metabolic process,biosynthetic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,regulation of biological process,regulation of molecular function",3032.0,563.0
GO:0032091,regulation of molecular function,3878.0,772.0
GO:0032092,regulation of molecular function,3878.0,772.0
GO:0032094,"response to external stimulus,response to chemical",4222.0,801.0
GO:0032099,"negative regulation of response to stimulus,negative regulation of biological process,regulation of response to stimulus,response to external stimulus,response to chemical,regulation of biological process,regulation of biological quality",2823.0,531.0
GO:0032147,"nitrogen compound metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process,regulation of molecular function",3293.0,630.0
GO:0032148,"nitrogen compound metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,positive regulation of biological process,regulation of biological process,regulation of molecular function",3293.0,630.0
GO:0032200,cellular component organization or biogenesis,1344.0,239.0
GO:0032204,"nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,cellular component organization or biogenesis,regulation of biological process",3329.0,639.0
GO:0032206,"nitrogen compound metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process",3288.0,627.0
GO:0032210,"nitrogen compound metabolic process,biosynthetic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,cellular component organization or biogenesis,regulation of biological process",3013.0,561.0
GO:0032211,"nitrogen compound metabolic process,biosynthetic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,negative regulation of biological process,regulation of biological process",2904.0,548.0
GO:0032212,"nitrogen compound metabolic process,biosynthetic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process",2962.0,554.0
GO:0032228,"cell communication,regulation of cellular process,cell-cell signaling,regulation of signaling,regulation of biological process",700.0,116.0
GO:0032230,"cell communication,positive regulation of cellular process,regulation of cellular process,cell-cell signaling,regulation of signaling,positive regulation of signaling,positive regulation of biological process,regulation of biological process",667.0,112.0
GO:0032233,"actin filament-based process,positive regulation of cellular process,regulation of cellular process,cellular component organization or biogenesis,positive regulation of biological process,regulation of biological process",43.0,9.0
GO:0032237,"positive regulation of cellular process,regulation of cellular process,transmembrane transport,positive regulation of transport,regulation of localization,positive regulation of biological process,establishment of localization,regulation of biological process,regulation of molecular function",3518.0,685.0
GO:0032259,907,907.0,907.0
